code,location,registred,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
547051,Praha-Libuš,6 550,4 539,4 509,733,5,4,218,6,1,188,218,77,27,0,106,3,10,830,1,1,3,510,1 017,3,4,173,2,48,9,2,285,25
539449,Praha-Lipence,1 935,1 447,1 442,330,0,0,57,3,0,56,55,22,4,0,33,0,3,220,1,0,2,201,295,1,3,51,0,14,13,2,72,4
539465,Praha-Lochkov,594,420,418,73,1,0,18,0,0,23,16,5,5,0,15,1,1,70,0,0,2,40,101,0,1,16,0,4,2,0,23,1
547140,Praha-Lysolaje,888,685,680,78,0,0,20,1,1,131,12,19,0,0,12,0,0,89,0,0,0,110,125,1,0,56,0,5,1,0,16,3
547158,Praha-Nebušice,1 742,1 187,1 181,186,3,0,52,1,0,113,50,35,3,2,11,1,1,177,1,0,2,128,283,2,0,42,0,17,4,1,63,3
538531,Praha-Nedvězí,228,167,167,31,4,0,7,0,3,4,6,2,1,0,5,0,0,27,0,0,0,14,37,0,0,5,0,4,0,2,14,1
547395,Praha-Petrovice,4 717,3 137,3 120,450,8,3,203,4,0,161,152,75,8,2,75,3,8,585,0,0,2,309,712,0,5,132,0,31,7,3,173,9
539589,Praha-Přední Kopanina,399,314,311,67,0,1,15,0,0,12,10,7,3,0,5,1,2,62,0,0,0,31,58,0,0,15,0,4,3,0,15,0
539635,Praha-Řeporyje,2 947,2 074,2 069,405,7,0,107,2,0,105,49,43,5,5,55,1,3,372,0,1,1,235,425,1,4,109,0,20,4,1,105,4
538736,Praha-Satalice,1 658,1 257,1 248,223,1,0,68,0,2,141,38,16,6,0,35,2,0,168,2,0,2,132,254,1,0,61,0,14,5,1,74,2
539678,Praha-Slivenec,2 524,1 854,1 844,355,1,0,68,4,0,249,53,17,14,3,40,3,1,291,0,0,0,248,305,0,3,58,1,20,5,1,102,2
547271,Praha-Suchdol,4 635,3 410,3 393,510,3,1,147,4,4,434,145,83,12,0,64,1,3,537,0,0,1,414,655,0,0,165,2,28,5,2,166,7
539724,Praha-Šeberov,2 145,1 588,1 581,343,1,1,53,0,0,61,58,19,3,1,34,2,1,252,1,0,2,218,341,3,3,57,1,23,8,4,86,5
547409,Praha-Štěrboholy,1 275,975,972,213,1,0,39,2,0,48,33,16,3,0,9,2,4,158,0,0,1,125,235,0,1,35,0,7,0,1,36,3
547328,Praha-Troja,889,696,693,138,0,0,25,1,1,66,16,17,1,1,10,3,0,94,1,0,0,135,107,0,0,47,0,6,2,0,22,0
539791,Praha-Újezd,2 085,1 583,1 577,292,1,1,55,0,0,80,59,31,8,0,38,2,2,272,0,0,0,205,337,3,2,67,1,15,4,1,95,6
547115,Praha-Velká Chuchle,1 746,1 313,1 304,260,0,0,51,1,0,77,52,28,2,3,19,0,1,213,0,1,0,209,243,0,3,49,0,5,1,3,82,1
539007,Praha-Vinoř,2 945,2 166,2 158,337,8,4,107,1,2,201,85,35,8,1,40,2,2,318,1,0,0,204,486,1,1,138,1,11,2,2,154,6
539864,Praha-Zbraslav,7 359,5 210,5 173,905,7,4,255,4,1,249,215,124,22,2,102,5,12,915,1,0,10,657,1 045,4,2,263,1,63,8,2,280,15
539899,Praha-Zličín,4 079,2 820,2 801,472,1,0,111,2,0,169,125,33,15,4,50,2,6,490,1,0,2,347,623,1,2,131,0,33,5,4,166,6
